"DISTRULES_ID";"DISTRULES_UID";"TYPE";"VALUES";"MINIMUM_KILOMETERS";"PREFERED"
"1";"{752b233f-79ff-4a06-a791-ab7beef35407}";"IK Plaine";"0.61";"4";"1"
"2";"{e91e081f-691e-48af-957e-27a4661b55f3}";"IK Montagne";"0.91";"2";"0"
