albon	26140
alboussiere	07440
albussac	19380
alby sur cheran	74540
alcay alcabehety sunharett	64470
aldudes	64430
alembon	62850
alencon	61000
alenya	66200
aleria	20270
ales	30100
alet les bains	11580
alette	62650
aleu	09320
alex	74290
alexain	53240
aleyrac	26770
alfortville	94140
algajola	20220
algans	81470
algolsheim	68600
algrange	57440
alieze	39270
alignan du vent	34290
alincourt	08310
alincthun	62142
alise ste reine	21150
alissas	07210
alistro	20230
alix	69380
alixan	26300
alizay	27460
allain	54170
allaines	80200
allaines mervilliers	28310
allainville	28500
allainville aux bois	78660
allainville en beauce	45480
allaire	56350
allamont	54800
allamps	54112
allan	26780
allanche	15160
alland huy et sausseuil	08130
allarmont	88110
allas bocage	17150
allas champagne	17500
allas les mines	24220
allassac	19240
allauch	13190
allegre	30500
allegre	43270
alleins	13980
allemagne en provence	04550
allemanche launay et soyer	51260
allemans	24600
allemans du dropt	47800
allemant	02320
allemant	51120
allemond	38114
allenay	80530
allenc	48190
allenjoie	25490
allennes les marais	59251
allenwiller	67310
allerey	21230
allerey sur saone	71350
alleriot	71380
allery	80270
alles sur dordogne	24480
alleuze	15100
allevard	38580
alleves	74540
allex	26400
alleyrac	43150
alleyras	43580
alleyrat	19200
alleyrat	23200
allez et cazeneuve	47110
alliancelles	51250
alliat	09400
allibaudieres	10700
allichamps	52130
allier	65360
allieres	09240
alligny cosne	58200
alligny en morvan	58230
allineuc	22460
allinges	74200
allogny	18110
allondans	25550
allondaz	73200
allondrelle la malmaison	54260
allonne	60000
allonne	79130
allonnes	28150
allonnes	49650
allonnes	72700
allons	04170
allons	47420
allonville	80260
allonzier la caille	74350
allos	04260
allouagne	62157
alloue	16490
allouis	18500
allouville bellefosse	76190
alluy	58110
alluyes	28800
ally	15700
ally	43380
almayrac	81190
almeneches	61570
almon les junies	12300
alos	09200
alos	81140
alos sibas abense	64470
aloxe corton	21420
alpuech	12210
alquines	62850
alrance	12430
alsting	57520
altagene	20112
alteckendorf	67270
altenach	68210
altenbach	68760
altenheim	67490
altenstadt	67160
althen des paluds	84210
altiani	20270
altier	48800
altillac	19120
altkirch	68130
altorf	67120
altrippe	57660
altviller	57730
altwiller	67260
aluze	71510
alvignac	46500
alvimare	76640
alzen	09240
alzi	20212
alzing	57320
alzitone	20240
alzon	30770
alzonne	11170
amage	70280
amagne	08300
amagney	25220
amailloux	79350
amance	10140
amance	54770
amance	70160
amancey	25330
amancy	74800
amange	39700
amanlis	35150
amanty	55130
amanvillers	57111
amanze	71610
amareins	01090
amareins francheleins cess	01090
amarens	81170
amathay vesigneux	25330
amaye sur orne	14210
amaye sur seulles	14310
amazy	58190
ambacourt	88500
ambares et lagrave	33440
ambax	31230
ambazac	87240
ambel	38970
ambenay	27250
amberac	16140
amberieu en bugey	01500
amberieux d'azergues	69480
amberieux en dombes	01330
ambernac	16490
amberre	86110
ambert	63600
ambes	33810
ambeyrac	12260
ambialet	81430
ambiegna	20151
ambierle	42820
ambievillers	70210
ambillou	37340
ambillou chateau	49700
ambilly	74100
amblaincourt	55250
amblainville	60110
amblans et velotte	70200
ambleny	02290
ambleon	01300
ambleteuse	62164
ambleville	16300
ambleville	95710
amblie	14480
amblimont	08210
ambloy	41310
ambly fleury	08130
ambly sur meuse	55300
amboise	37400
amboise	37530
ambon	56190
ambonil	26800
ambonnay	51150
ambonville	52110
ambourville	76480
ambrault	36120
ambres	81500
ambricourt	62310
ambrief	02200
ambriËres	51290
ambriËres les vallÈes	53300
ambrines	62127
ambronay	01500
ambrugeat	19250
ambrumesnil	76550
ambrus	47160
ambutrix	01780
amecourt	27140
amel sur l'etang	55230
amelecourt	57170
amelie les bains palalda	66110
amendeuix oneix	64120
amenoncourt	54450
amenucourt	95510
amerey	88220
ames	62190
amettes	62260
ameugny	71460
ameuvelle	88410
amfreville	14860
amfreville	50480
amfreville la campagne	27370
amfreville la mi voie	76920
amfreville les champs	27380
amfreville les champs	76560
amfreville sous les monts	27380
amfreville sur iton	27400
amfroipret	59144
amiens	80000
amiens	80080
amiens	80090
amifontaine	02190
amigny	50620
amigny rouy	02700
amillis	77120
amilly	28300
amilly	45200
amions	42260
amirat	06910
ammerschwihr	68770
ammerzwiller	68210
ammeville	14170
amne	72540
amneville	57360
amoncourt	70170
amondans	25330
amont et effreney	70310
amorots succos	64120
amou	40330
amphion les bains	74500
ampiac	12000
ampilly le sec	21400
ampilly les bordes	21450
amplaing	09400
amplepuis	69550
amplier	62760
ampoigne	53200
amponville	77760
ampriani	20272
ampuis	69420
ampus	83111
amure	79210
amy	60310
anais	16560
anais	17540
anan	31230
ance	64570
anceaumeville	76710
anceins	61550
ancelle	05260
ancemont	55320
ancenis	44150
ancerville	55170
ancerville	57580
ancerviller	54450
ancey	21410
anchamps	08500
anche	37500
anche	86700
anchenoncourt et chazel	70210
ancienville	02600
ancier	70100
ancinnes	72490
ancizan	65440
ancone	26200
ancourt	76370
ancourteville sur hericour	76560
ancretieville st victor	76760
ancretteville sur mer	76540
ancteville	50200
anctoville	14240
anctoville sur boscq	50400
ancy	69490
ancy le franc	89160
ancy le libre	89160
ancy sur moselle	57130
andainville	80140
andance	07340
andancette	26140
andard	49800
ande	27430
andechy	80700
andel	22400
andelain	02800
andelaroche	03120
andelarre	70000
andelarrot	70000
andelat	15100
andelnans	90400
andelot blancheville	52700
andelot en montagne	39110
andelot morval	39320
andelu	78770
andernay	55800
andernos les bains	33510
anderny	54560
andert et condon	01300
andevanne	08240
andeville	60570
andigne	49220
andillac	81140
andilly	17230
andilly	54200
andilly	74350
andilly	95580
andilly en bassigny	52360
andiran	47170
andlau	67140
andoins	64420
andolsheim	68280
andon	06750
andonville	45480
andornay	70200
andorre	31999
andouille	53240
andouille neuville	35250
andouque	81350
andrein	64390
andres	62340
andrest	65390
andresy	78570
andreze	49600
andrezel	77390
andrezieux boutheon	42160
andryes	89480
anduze	30140
aneran camors	65510
aneres	65150
anet	28260
anetz	44150
angais	64510
ange	41400
angeac champagne	16130
angeac charente	16120
angecourt	08450
angeduc	16300
angely	89440
angeot	90150
angers	49000
angers	49100
angerville	14430
angerville	91670
angerville bailleul	76110
angerville l'orcher	76280
angerville la campagne	27930
angerville la martel	76540
angervilliers	91470
angeville	82210
angevillers	57440
angey	50530
angicourt	60940
angiens	76740
angirey	70700
angivillers	60130
anglade	33390
anglards de salers	15380
anglards de st flour	15100
anglars	46120
anglars juillac	46140
anglars nozac	46300
anglars st felix	12390
anglefort	01350
anglemont	88700
angles	04170
angles	81260
angles	85750
angles sur l'anglin	86260
anglesqueville l'esneval	76280
anglesqueville la bras lon	76740
anglet	64600
angliers	17540
angliers	86330
anglure	51260
anglure sous dun	71170
anglus	52220
angluzelles et courcelles	51230
angoisse	24270
angomont	54540
angos	65690
angouleme	16000
angoulins	17690
angoume	40990
angous	64190
angoustrine villeneuve esc	66760
angoville	14220
angoville au plain	50480
angoville en saire	50330
angoville sur ay	50430
angres	62143
angresse	40150
angrie	49440
anguerny	14610
anguilcourt le sart	02800
angviller les bisping	57930
angy	60250
anhaux	64220
anhiers	59194
aniane	34150
aniche	59580
anisy	14610
anizy le chateau	02320
anjeux	70800
anjou	38150
anjouin	36210
anjoutey	90170
anla	65370
anlezy	58480
anlhiac	24160
annay	58450
annay	62880
annay la cote	89200
annay sur serein	89310
annebault	14430
annebecq	14380
annecy	74000
annecy le vieux	74940
annelles	08310
annemasse	74100
anneot	89200
annepont	17350
annequin	62149
annesse et beaulieu	24430
annet sur marne	77410
anneux	59400
anneville ambourville	76480
anneville en saire	50760
anneville la prairie	52310
anneville sur mer	50560
anneville sur scie	76590
anneyron	26140
annezay	17380
annezin	62232
annoeullin	59112
annoire	39120
annois	02480
annoisin chatelans	38460
annoix	18340
annonay	07100
annonville	52230
annot	04240
annouville vilmesnil	76110
annoux	89440
annoville	50660
anor	59186
anos	64160
anost	71550
anould	88650
anoux	54150
anoye	64350
anquetierville	76490
anrosey	52500
ansac sur vienne	16500
ansacq	60250
ansan	32270
ansauville	54470
ansauvillers	60120
anse	69480
anserville	60540
ansignan	66220
ansigny	73410
ansost	65140
ansouis	84240
anstaing	59152
antagnac	47700
anterrieux	15110
anteuil	25340
antezant la chapelle	17400
anthe	47370
anthelupt	54110
anthenay	51700
antheny	08260
antheor	83700
antheor cap roux	83700
antheuil	21360
antheuil portes	60162
anthien	58800
anthon	38280
anthy sur leman	74200
antibes	06160
antibes	06600
antichan	65370
antichan de frontignes	31510
antignac	15240
antignac	17240
antignac	31110
antigny	85120
antigny	86310
antigny la ville	21230
antilly	57640
antilly	60620
antin	65220
antisanti	20270
antist	65200
antogny le tillac	37800
antoigne	49260
antoigne	72380
antoigny	61410
antoingt	63340
antonaves	05300
antonne et trigonant	24420
antony	92160
antorpe	25410
antraigues sur volane	07530
antrain	35560
antran	86100
antras	09800
antras	32360
antrenas	48100
antugnac	11190
antully	71400
anveville	76560
anville	16170
anvin	62134
any martin rieux	02500
anzat le luguet	63420
anzeling	57320
anzeme	23000
anzex	47700
anzin	59410
anzin st aubin	62223
anzy le duc	71110
aoste	38490
aougny	51170
aouste	08290
aouste sur sye	26400
aouze	88170
apach	57480
apchat	63420
apchon	15400
apinac	42550
appelle	81700
appenai sous belleme	61130
appenans	25250
appenwihr	68280
appeville	50500
appeville annebault	27290
appietto	20167
appilly	60400
appoigny	89380
apprieu	38140
appy	09250
apremont	01100
apremont	08250
apremont	60300
apremont	70100
apremont	73190
apremont	85220
apremont la foret	55300
apremont sur allier	18150
aprey	52250
apt	84400
apt armees	84998
arabaux	09000
araches	74300
aragnouet	65170
aragon	11600
aramits	64570
aramon	30390
aranc	01110
arance	64300
arancou	64270
arandas	01230
arandon	38510
araujuzon	64190
araules	43200
araux	64190
arbanats	33640
arbas	31160
arbecey	70160
arbellara	20110
arbent	01100
arbeost	65560
arberats sillegue	64120
arbignieu	01300
arbigny	01190
arbigny sous varennes	52500
arbin	73800
arbis	33760
arblade le bas	32720
arblade le haut	32110
arbois	39600
arbon	31160
arbonne	64210
arbonne la foret	77630
arboras	34150
arbori	20160
arbot	52160
arbouans	25400
arboucave	40320
arbouet sussaute	64120
arbourse	58350
arboussols	66320
arbrissel	35130
arbuissonnas	69460
arbus	64230
arbusigny	74930
arc en barrois	52210
arc et senans	25610
arc les gray	70100
arc sous cicon	25520
arc sous montenot	25270
arc sur tille	21560
arcachon	33120
arcais	79210
arcambal	46090
arcangues	64200
arcay	18340
arcay	86200
arceau	21310
arcelot	21310
arcenant	21700
arcens	07310
arces	17120
arces dilo	89320
arcey	21410
arcey	25750
archail	04420
archamps	74160
archelange	39290
arches	15200
arches	88380
archettes	88380
archiac	17520
archignac	24590
archignat	03380
archigny	86210
archingeay	17380
archon	02360
arcier	25220
arcine	74270
arcinges	42460
arcins	33460
arcis le ponsart	51170
arcis sur aube	10700
arcizac adour	65360
arcizac ez angles	65100
arcizans avant	65400
arcizans dessus	65400
arcomie	48200
arcomps	18200
arcon	25300
arcon	42370
arconcey	21320
arconnay	72610
arconsat	63250
arconville	10200
arcueil	94110
arcy ste restitue	02130
arcy sur cure	89270
ardelles	28170
ardelu	28700
ardenais	18170
ardenay sur merize	72370
ardengost	65240
ardentes	36120
ardes	63420
ardeuil et montfauxelles	08400
ardevon	50170
ardiege	31210
ardilleux	79110
ardillieres	17290
ardin	79160
ardizas	32430
ardoix	07290
ardon	39300
ardon	45160
ardouval	76680
ardres	62610
areches	73270
aregno	20220
areines	41100
aremberg	59135
aren	64400
arengosse	40110
arenthon	74800
ares	33740
aresches	39110
aressy	64320
arette	64570
arfeuille chatain	23700
arfeuilles	03640
arfons	81110
argagnon	64300
arganchy	14400
arganÁon	10140
argancy	57640
argein	09800
argelËs	65200
argelËs gazost	65400
argelËs plage	66700
argelËs sur mer	66700
argeliers	11120
argelliers	34380
argelos	40700
argelos	64450
argelouse	40430
argences	14370
argens	04170
argens minervois	11200
argent sur sauldre	18410
argentan	61200
argentat	19400
argentella	20260
argentenay	89160
argenteuil	95100
argenteuil sur armancon	89160
argentiere	74400
argentiËres	77390
argentine	73220
argentolles	10150
argentolles	52330
argenton	47250
argenton ch‚teau	79150
argenton l'Èglise	79290
argenton notre dame	53290
argenton sur creuse	36200
argentre	53210
argentrÈ du plessis	35370
argenvieres	18140
argenvilliers	28420
argers	51800
arget	64410
argiesans	90800
argillieres	70600
argilliers	30210
argilly	21700
argis	01970
argiusta moriccio	20140
argoeuves	80730
argol	29560
argonay	74370
argouges	50240
argoules	80120
argueil	76780
arguel	25720
arguel	80140
arguenos	31160
argut dessous	31440
argut dessus	31440
argy	36500
arhansus	64120
aries espenan	65230
arifat	81360
arignac	09400
arinthod	39240
arith	73340
arjuzanx	40110
arlanc	63220
arlay	39140
arlebosc	07410
arlempdes	43490
arles	13200
arles sur tech	66150
arlet	43380
arleuf	58430
arleux	59151
arleux en gohelle	62580
arlos	31440
armaille	49420
armancourt	60880
armancourt	80700
armaucourt	54760
armbouts cappel	59380
armeau	89500
armendarits	64640
armenonville les gatineaux	28320
armenteule	65510
armentieres	59280
armentiËres en brie	77440
armentiËres sur avre	27820
armentiËres sur ourcq	02210
armentieux	32230
armes	58500
armillac	47800
armissan	11110
armix	01510
armous et cau	32230
armoy	74200
arnac	15150
arnac la poste	87160
arnac pompadour	19230
arnac sur dourdou	12360
arnage	72230
arnancourt	52110
arnas	69400
arnaud guilhem	31360
arnave	09400
arnaville	54530
arnay le duc	21230
arnay sous vitteaux	21350
arnayon	26470
arne	65670
arneguy	64220
arneke	59285
arnicourt	08300
arnieres sur iton	27180
arnoncourt sur apance	52400
arnos	64370
arnouville les gonesse	95400
arnouville les mantes	78790
aroffe	88170
aromas	39240
aron	53440
aroue ithorots olhaiby	64120
aroz	70360
arpaillargues et aureillac	30700
arpajon	91290
